ProductID,ProductName,Category,Price,StockQuantity,Supplier,Description
101,Dog Food,Food,25.99,100,PetSuppliesCo,Premium dry dog food with essential nutrients.
102,Cat Litter,Litter,15.5,200,FelineProducts,Clumping cat litter with odor control.
103,Bird Cage,Housing,45.0,50,AviaryHomes,Spacious bird cage suitable for small to medium birds.
104,Fish Tank,Housing,60.75,20,AquaWorld,Glass fish tank with filtration system.
105,Rabbit Hutch,Housing,75.0,10,BunnyHavens,Wooden rabbit hutch with waterproof roof.
106,Hamster Bedding,Bedding,8.99,150,CritterComforts,Soft and absorbent bedding for hamsters.
107,Dog Leash,Accessories,12.99,75,PawGear,Durable dog leash made from high-quality materials.
108,Cat Scratching Post,Furniture,35.5,60,FelineFurniture,Sturdy scratching post to keep your cat entertained.
109,Bird Food,Food,20.99,150,AviaryNutrition,Nutrient-rich bird seeds for a healthy diet.
110,Reptile Heat Lamp,Equipment,25.49,40,ReptileEssentials,Heat lamp for reptiles to maintain optimal temperature.
111,Dog Bed,Bedding,49.99,55,PawComforts,Orthopedic dog bed for ultimate comfort.
112,Cat Carrier,Travel,39.99,100,FelineTravel,Sturdy and spacious cat carrier for travel.
113,Aquarium Decorations,Accessories,15.99,90,AquaDecor,Colorful decorations to enhance your aquarium.
114,Small Animal Toys,Toys,10.49,120,CritterPlaytime,Fun toys for small animals like hamsters and guinea pigs.
115,Bird Perch,Accessories,12.0,80,AviaryPerches,Comfortable perch for birds of all sizes.
116,Puppy Training Pads,Training,22.0,140,PawTraining,Absorbent pads for easy puppy training.
117,Catnip Toys,Toys,6.99,200,FelineJoy,Fun catnip-filled toys for hours of play.
118,Guinea Pig Food,Food,17.5,60,SmallPetNutrition,Balanced food for guinea pigs.
119,Dog Coat,Clothing,35.0,30,PawFashion,Warm coat for dogs on chilly days.
120,Bird Bath,Accessories,18.5,45,AviaryBaths,A refreshing bath for your feathered friends.
121,Fish Food,Food,14.99,170,AquaNutrition,Sinking and floating fish pellets.
122,Rabbit Chew Toys,Toys,9.99,80,BunnyPlaytime,Natural chew toys for rabbits.
123,Parrot Treats,Food,12.99,75,AviaryDelights,Healthy treats for parrots.
124,Cat Grooming Brush,Grooming,8.0,120,FelineGrooming,Effective brush for grooming your cat's fur.
125,Hamster Cage,Housing,45.99,40,CritterCages,Spacious and fun cage for hamsters.
126,Heat Mat for Reptiles,Heating,24.99,50,ReptileHeat,Safe and reliable heat mat for reptiles.
